AtcoCode,CommonName,LocalityName,Latitude,Longitude,Easting,Northing
700000006196,Duneane Ps,Antrim,54.7509805,-6.41480431,302121,390380
700000006197,Lismacloskey Road,Antrim,54.75055352,-6.42685793,301346,390315
700000006198,The Green Shades,Antrim,54.75490371,-6.43256077,300968,390791
700000006199,Duneane Cottages,Antrim,54.75914227,-6.42686659,301324,391271
700000006200,HigginsCorner,Antrim,54.76773017,-6.41783208,301884,392240
700000006201,Marion Hill,Antrim,54.7792148,-6.42083421,301662,393514
700000006202,Millquarter Post Office,Antrim,54.79594834,-6.43304083,300835,395359
700000006203,Millquarter Primary School,Antrim,54.79945735,-6.43136559,300934,395752
700000006204,Crosskeys,Antrim,54.80560234,-6.42028735,301631,396452
700000006205,Boals House,Antrim,54.81091223,-6.42585093,301260,397035
700000006206,Kerrs House,Antrim,54.81430219,-6.44209952,300207,397389
700000006207,Newferry Corner,Antrim,54.8182488,-6.45143763,299597,397815
700000006209,Loup Road,Antrim,54.79088165,-6.44984094,299767,394771
700000006210,The Cottages,Antrim,54.77200749,-6.43940523,300485,392685
700000006211,7.00E+11,Antrim,54.77168543,-6.43951086,300479,392649
700000006212,Loup Road,Antrim,54.79096663,-6.45016417,299746,394780
700000006213,Ballyscullion Crossroads,Antrim,54.80127404,-6.4546216,299434,395921
700000006214,Newferry Corner,Antrim,54.81781833,-6.45220085,299549,397766
700000006215,Kerrs House,Antrim,54.81453206,-6.44251068,300180,397414
700000006216,Bogles House,Antrim,54.81104569,-6.42713679,301177,397048
700000006217,Crosskeys,Antrim,54.80561726,-6.42005348,301646,396454
700000006218,Millquarter Primary School,Antrim,54.79957348,-6.43131444,300937,395765
700000006219,Millquarter Post Office,Antrim,54.79603211,-6.43257112,300865,395369
700000006220,Bradys Lane,Antrim,54.78804257,-6.42471864,301390,394491
700000006221,Marion Hill,Antrim,54.78044659,-6.42091056,301654,393651
700000006222,HigginsCorner,Antrim,54.76763977,-6.41778899,301887,392230
